efector;fechaGasto;periodo;numero_comprobante_gasto;codigogasto;efector_sesion;monto;concepto
G07112;2014-11-06;2014-11;;3.2;;17994.00;
G07112;2014-11-04;2014-11;;3.2;;60.00;
G07112;2014-11-05;2014-11;;3.2;;51.00;
G07112;2014-11-06;2014-11;;3.2;;2630.00;
G07112;2014-11-19;2014-11;;3.2;;468.00;
G07112;2014-11-06;2014-11;;3.2;;6500.00;
G07112;2014-11-26;2014-11;;3.2;;17204.00;
G07112;2014-11-26;2014-11;;3.2;;896.91;
G07112;2014-11-26;2014-11;;3.2;;22.79;
G07112;2014-11-04;2014-11;;3.2;;1186.69;
G07112;2014-11-21;2014-11;;3.2;;9.00;
G07112;2014-11-26;2014-11;;3.2;;1400.00;
G07111;2014-11-03;2014-11;;2.1;;6895.00;
G07111;2014-11-04;2014-11;;2.1;;1800.00;
G07111;2014-11-04;2014-11;;2.1;;4000.00;
G07111;2014-11-04;2014-11;;2.1;;3985.00;
G07111;2014-11-04;2014-11;;2.1;;2000.00;
G07111;2014-11-04;2014-11;;2.1;;2000.00;
G07111;2014-11-04;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;4470.00;
G07111;2014-11-05;2014-11;;2.1;;4470.00;
G07111;2014-11-05;2014-11;;2.1;;3985.00;
G07111;2014-11-05;2014-11;;2.1;;4000.00;
G07111;2014-11-05;2014-11;;2.1;;4485.00;
G07111;2014-11-05;2014-11;;2.1;;4365.00;
G07111;2014-11-05;2014-11;;2.1;;2500.00;
G07111;2014-11-05;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;3985.00;
G07111;2014-11-05;2014-11;;2.1;;3985.00;
G07111;2014-11-05;2014-11;;2.1;;4470.00;
G07111;2014-11-05;2014-11;;2.1;;5820.00;
G07111;2014-11-05;2014-11;;2.1;;1335.00;
G07111;2014-11-05;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;2800.00;
G07111;2014-11-05;2014-11;;2.1;;2000.00;
G07111;2014-11-05;2014-11;;2.1;;2500.00;
G07111;2014-11-05;2014-11;;2.1;;2500.00;
G07111;2014-11-05;2014-11;;2.1;;1900.00;
G07111;2014-11-10;2014-11;;2.1;;3800.00;
G07111;2014-11-10;2014-11;;2.1;;800.00;
G07111;2014-11-10;2014-11;;2.1;;800.00;
G07111;2014-11-10;2014-11;;2.1;;1800.00;
G07111;2014-11-07;2014-11;;2.1;;2000.00;
G07111;2014-11-11;2014-11;;2.1;;2500.00;
G07111;2014-11-11;2014-11;;2.1;;2000.00;
G07111;2014-11-11;2014-11;;2.1;;2000.00;
